SMILES	ID
O=C(NCc1ncc(C(F)(F)F)cc1Cl)c1ccc2c(c1)C1(CCS(=O)(=O)CC1)[C@H](C1CC1)N2S(=O)(=O)c1ccc(F)cc1	RBIF-2019
Fc1ccc2c(c1)C(Oc1ccc(Br)c(C(F)(F)F)c1)CCC2	RBIF-0002
COc1ccccc1N1CCN(CCC(Oc2cccc3ccccc23)c2ccsc2)CC1	RBIF-1213
Fc1ccc(CN2CCCc3ccccc32)c(Br)c1	RBIF-1402
FC(F)(F)c1cccc(OCc2ccccc2Br)c1	RBIF-0181
C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O	RBIF-0575
COc1ccccc1N1CCN(CCC(Oc2cccc3ccccc23)c2cccs2)CC1	RBIF-1552
FC(F)(F)c1ccc(OCCN2CCCc3ccccc32)cc1	RBIF-2631
FC(F)(F)c1ccccc1OCCN1CCCc2ccccc21	RBIF-4356
Fc1cccc(COc2ccc(C(F)(F)F)cc2)c1	RBIF-2814
N#Cc1ccc(F)cc1C[NH+]1CCSCC1c1cccc(C(F)(F)F)c1	RBIF-1161
FC(F)(F)c1cccc(COc2ccccc2Br)c1	RBIF-3319
OC(CCN1CCN(c2cccc3cccnc23)CC1)c1csc2ccc(F)cc12	RBIF-1509
CC1Cc2ccccc2N1Cc1cc(Cl)ccc1Br	RBIF-3069
FC(F)(F)c1cccc(OCCC2CCc3ccccc32)c1	RBIF-2705
CNC(=O)Nc1ccc2c(c1)[C@@]1(CC2)OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O	RBIF-0591
CC(CSC(c1ccccc1)c1ccc(F)cc1)[NH+](C)C	RBIF-2992
